Filename,Algorithm,Goal,Path Length,Nodes Explored,Execution Time (s),Total Nodes,Total Time (s),Directions
test_files\invalid.txt,CUS1,"(2, 2)",4,2,,2,,R-S-D
test_files\invalid.txt,GBFS,"(2, 2)",0,24,,24,,N/A
test_files\invalid.txt,AS,"(2, 2)",0,24,,24,,N/A
test_files\invalid.txt,CUS2,"(2, 2)",4,2,,2,,D-S-R
test_files\map.txt,DFS,"(5, 9)",52,60,,60,,U-R-D-D-L-D-D-D-D-D-D-D-R-R-R-D-D-R-R-R-R-R-R-U-U-U-L-U-U-U-U-U-R-U-U-U-L-L-L-L-L-D-D-D-R-D-D-D-D-D-D
test_files\map.txt,BFS,"(5, 9)",48,84,,84,,D-D-D-D-D-D-D-D-R-R-R-D-D-R-R-R-R-R-R-U-U-U-L-U-U-U-U-U-R-U-U-U-L-L-L-L-L-D-D-D-R-D-D-D-D-D-D
test_files\map.txt,CUS1,"(5, 9)",49,79,,79,,D-D-D-D-D-D-D-D-R-R-R-D-D-R-R-R-R-R-R-U-U-U-L-U-S-U-U-U-U-R-U-U-U-L-L-L-L-L-D-D-D-R-D-D-D-D-D-D
test_files\map.txt,GBFS,"(5, 9)",48,74,,74,,D-D-D-D-D-D-D-D-R-R-R-D-D-R-R-R-R-R-R-U-U-L-U-U-U-U-U-U-R-U-U-U-L-L-L-L-L-D-D-D-R-D-D-D-D-D-D
test_files\map.txt,AS,"(5, 9)",48,76,,76,,D-D-D-D-D-D-D-R-D-R-R-D-D-R-R-R-R-R-R-U-U-L-U-U-U-U-U-U-R-U-U-U-L-L-L-L-L-D-D-D-R-D-D-D-D-D-D
test_files\map.txt,CUS2,"(5, 9)",49,68,,68,,D-D-D-D-D-D-R-D-D-R-R-D-D-R-R-R-R-R-R-U-U-L-U-S-U-U-U-U-U-R-U-U-U-L-L-L-L-L-D-D-D-R-D-D-D-D-D-D
test_files\nogoal.txt,DFS,"(4, 4)",0,23,,23,,N/A
test_files\nogoal.txt,BFS,"(4, 4)",0,16,,16,,N/A
test_files\nogoal.txt,CUS1,"(4, 4)",0,8,,8,,N/A
test_files\nogoal.txt,GBFS,"(4, 4)",0,16,,16,,N/A
test_files\nogoal.txt,AS,"(4, 4)",0,16,,16,,N/A
test_files\nogoal.txt,CUS2,"(4, 4)",0,8,,8,,N/A
test_files\RobotNav-test.txt,DFS,"(7, 0)",21,28,,69,,U-R-D-D-R-R-D-R-U-U-U-R-D-D-D-R-U-U-U-R
test_files\RobotNav-test.txt,DFS,"(10, 3)",31,41,,69,,U-R-D-D-R-R-D-R-U-U-U-R-D-D-D-R-U-U-U-R-D-D-D-R-U-R-U-R-D-D
test_files\RobotNav-test.txt,BFS,"(7, 0)",11,34,,73,,D-R-R-R-R-U-U-R-R-R
test_files\RobotNav-test.txt,BFS,"(10, 3)",13,39,,73,,D-R-R-R-R-R-R-R-R-R-R-D
test_files\RobotNav-test.txt,CUS1,"(7, 0)",12,24,,51,,D-R-R-R-R-S-U-U-R-R-R
test_files\RobotNav-test.txt,CUS1,"(10, 3)",14,27,,51,,D-R-R-R-R-R-S-R-R-R-R-R-D
test_files\RobotNav-test.txt,GBFS,"(7, 0)",11,13,,30,,R-D-R-R-R-U-U-R-R-R
test_files\RobotNav-test.txt,GBFS,"(10, 3)",15,17,,30,,D-R-R-R-D-R-R-R-R-R-U-R-R-D
test_files\RobotNav-test.txt,AS,"(7, 0)",11,17,,39,,R-D-R-R-R-U-U-R-R-R
test_files\RobotNav-test.txt,AS,"(10, 3)",13,22,,39,,D-R-R-R-R-R-R-R-R-R-R-D
test_files\RobotNav-test.txt,CUS2,"(7, 0)",12,14,,29,,R-D-R-R-R-S-U-U-R-R-R
test_files\RobotNav-test.txt,CUS2,"(10, 3)",14,15,,29,,D-R-R-R-R-R-S-R-R-R-R-R-D
test_files\test1.txt,DFS,"(10, 3)",31,41,,69,,U-R-D-D-R-R-D-R-U-U-U-R-D-D-D-R-U-U-U-R-D-D-D-R-U-R-U-R-D-D
test_files\test1.txt,DFS,"(7, 0)",21,28,,69,,U-R-D-D-R-R-D-R-U-U-U-R-D-D-D-R-U-U-U-R
test_files\test1.txt,BFS,"(10, 3)",13,39,,73,,D-R-R-R-R-R-R-R-R-R-R-D
test_files\test1.txt,BFS,"(7, 0)",11,34,,73,,D-R-R-R-R-U-U-R-R-R
test_files\test1.txt,CUS1,"(10, 3)",14,27,,51,,D-R-R-R-R-R-S-R-R-R-R-R-D
test_files\test1.txt,CUS1,"(7, 0)",12,24,,51,,D-R-R-R-R-S-U-U-R-R-R
test_files\test1.txt,GBFS,"(10, 3)",15,17,,30,,D-R-R-R-D-R-R-R-R-R-U-R-R-D
test_files\test1.txt,GBFS,"(7, 0)",11,13,,30,,R-D-R-R-R-U-U-R-R-R
test_files\test1.txt,AS,"(10, 3)",13,22,,39,,D-R-R-R-R-R-R-R-R-R-R-D
test_files\test1.txt,AS,"(7, 0)",11,17,,39,,R-D-R-R-R-U-U-R-R-R
test_files\test1.txt,CUS2,"(10, 3)",14,15,,29,,D-R-R-R-R-R-S-R-R-R-R-R-D
test_files\test1.txt,CUS2,"(7, 0)",12,14,,29,,R-D-R-R-R-S-U-U-R-R-R
test_files\test10.txt,DFS,"(19, 0)",317,348,,348,,U-U-U-U-U-U-U-U-U-U-U-U-U-U-U-U-U-U-U-R-D-D-D-D-D-D-D-D-D-D-D-D-D-D-D-D-D-D-D-R-U-U-U-U-U-U-U-U-U-U-U-U-U-U-U-U-U-U-U-R-D-D-D-D-D-D-D-D-D-D-D-D-D-D-D-D-D-D-D-R-U-U-U-U-U-U-U-U-U-U-U-U-U-U-U-U-U-U-U-R-D-D-D-D-D-D-D-D-D-D-D-D-D-D-D-D-D-D-D-R-U-U-U-U-U-U-U-U-U-U-U-U-U-U-U-U-R-D-D-D-D-D-D-D-D-D-D-D-D-D-D-D-D-R-U-U-U-U-U-U-U-U-U-U-U-U-U-U-U-U-U-R-D-D-D-D-D-D-D-D-D-D-D-D-D-D-D-D-D-R-U-U-U-U-U-U-U-U-U-U-U-U-U-U-U-R-D-D-D-D-D-D-D-D-D-D-D-D-D-D-D-R-U-U-U-U-U-U-U-U-U-U-U-U-U-R-D-D-D-D-D-D-D-D-D-D-D-D-D-R-U-U-U-U-U-U-U-U-U-R-U-R-U-U-U-U-U-U-U-U-U-R-D-D-D-D-D-D-D-D-D-D-L-D-L-D-D-D-D-D-D-D-D-R-U-U-U-U-U-U-U-R-U-R-U-U-U-U-U-U-U-U-U-U-U-R
test_files\test10.txt,BFS,"(19, 0)",39,374,,374,,U-U-U-U-U-U-U-U-U-R-R-R-R-R-R-R-R-R-R-R-R-R-R-R-U-R-U-U-U-U-U-U-U-U-U-R-R-R
test_files\test10.txt,CUS1,"(19, 0)",40,287,,287,,U-U-U-U-U-U-U-U-U-R-R-R-R-R-R-R-R-S-R-R-R-R-R-R-R-U-R-U-U-U-U-U-U-U-U-U-R-R-R
test_files\test10.txt,GBFS,"(19, 0)",59,79,,79,,U-U-U-U-U-U-U-U-U-U-U-U-U-U-U-U-U-U-U-R-R-R-R-R-D-D-R-D-R-R-R-R-D-R-R-D-D-R-D-D-D-D-R-R-U-R-U-U-U-U-U-U-U-U-U-R-R-R
test_files\test10.txt,AS,"(19, 0)",39,247,,247,,U-U-U-U-U-U-U-U-U-R-R-R-R-R-R-R-R-R-R-R-R-R-R-R-U-R-U-U-U-U-U-U-U-U-U-R-R-R
test_files\test10.txt,CUS2,"(19, 0)",52,127,,127,,U-U-U-U-U-U-U-U-U-U-U-U-R-R-R-R-R-R-R-R-R-R-S-R-R-R-D-D-D-R-R-U-R-U-U-L-U-U-U-U-L-U-L-U-U-R-R-R-R-R-R
test_files\test2.txt,DFS,"(10, 3)",0,14,,28,,N/A
test_files\test2.txt,DFS,"(7, 0)",0,14,,28,,N/A
test_files\test2.txt,BFS,"(10, 3)",0,10,,20,,N/A
test_files\test2.txt,BFS,"(7, 0)",0,10,,20,,N/A
test_files\test2.txt,CUS1,"(10, 3)",0,20,,40,,N/A
test_files\test2.txt,CUS1,"(7, 0)",0,20,,40,,N/A
test_files\test2.txt,GBFS,"(10, 3)",0,10,,20,,N/A
test_files\test2.txt,GBFS,"(7, 0)",0,10,,20,,N/A
test_files\test2.txt,AS,"(10, 3)",0,10,,20,,N/A
test_files\test2.txt,AS,"(7, 0)",0,10,,20,,N/A
test_files\test2.txt,CUS2,"(10, 3)",0,20,,40,,N/A
test_files\test2.txt,CUS2,"(7, 0)",0,20,,40,,N/A
test_files\test3.txt,DFS,"(10, 3)",31,41,,126,,U-R-D-D-R-R-D-R-U-U-U-R-D-D-D-R-U-U-U-R-D-D-D-R-U-R-U-R-D-D
test_files\test3.txt,DFS,"(7, 0)",21,28,,126,,U-R-D-D-R-R-D-R-U-U-U-R-D-D-D-R-U-U-U-R
test_files\test3.txt,DFS,"(4, 4)",0,57,,126,,N/A
test_files\test3.txt,BFS,"(10, 3)",13,39,,113,,D-R-R-R-R-R-R-R-R-R-R-D
test_files\test3.txt,BFS,"(7, 0)",11,34,,113,,D-R-R-R-R-U-U-R-R-R
test_files\test3.txt,BFS,"(4, 4)",0,40,,113,,N/A
test_files\test3.txt,CUS1,"(10, 3)",14,27,,65,,D-R-R-R-R-R-S-R-R-R-R-R-D
test_files\test3.txt,CUS1,"(7, 0)",12,24,,65,,D-R-R-R-R-S-U-U-R-R-R
test_files\test3.txt,CUS1,"(4, 4)",9,14,,65,,D-R-R-S-R-R-D-D
test_files\test3.txt,GBFS,"(10, 3)",15,17,,70,,D-R-R-R-D-R-R-R-R-R-U-R-R-D
test_files\test3.txt,GBFS,"(7, 0)",11,13,,70,,R-D-R-R-R-U-U-R-R-R
test_files\test3.txt,GBFS,"(4, 4)",0,40,,70,,N/A
test_files\test3.txt,AS,"(10, 3)",13,22,,79,,D-R-R-R-R-R-R-R-R-R-R-D
test_files\test3.txt,AS,"(7, 0)",11,17,,79,,R-D-R-R-R-U-U-R-R-R
test_files\test3.txt,AS,"(4, 4)",0,40,,79,,N/A
test_files\test3.txt,CUS2,"(10, 3)",14,15,,40,,D-R-R-R-R-R-S-R-R-R-R-R-D
test_files\test3.txt,CUS2,"(7, 0)",12,14,,40,,R-D-R-R-R-S-U-U-R-R-R
test_files\test3.txt,CUS2,"(4, 4)",9,11,,40,,D-R-R-S-R-R-D-D
test_files\test4.txt,DFS,"(10, 3)",31,43,,73,,U-R-D-D-R-R-D-R-U-U-U-R-D-D-D-R-U-U-U-R-D-D-D-R-U-R-U-R-D-D
test_files\test4.txt,DFS,"(7, 0)",21,30,,73,,U-R-D-D-R-R-D-R-U-U-U-R-D-D-D-R-U-U-U-R
test_files\test4.txt,BFS,"(10, 3)",13,41,,71,,D-R-R-R-R-R-R-R-R-R-R-D
test_files\test4.txt,BFS,"(7, 0)",9,30,,71,,U-R-R-R-R-R-R-R
test_files\test4.txt,CUS1,"(10, 3)",14,32,,47,,D-R-R-R-R-S-R-R-R-R-R-R-D
test_files\test4.txt,CUS1,"(7, 0)",10,15,,47,,U-R-R-R-S-R-R-R-R
test_files\test4.txt,GBFS,"(10, 3)",15,17,,26,,D-R-R-R-D-R-R-R-R-R-U-R-R-D
test_files\test4.txt,GBFS,"(7, 0)",9,9,,26,,U-R-R-R-R-R-R-R
test_files\test4.txt,AS,"(10, 3)",13,22,,32,,D-R-R-R-R-R-R-R-R-R-R-D
test_files\test4.txt,AS,"(7, 0)",9,10,,32,,U-R-R-R-R-R-R-R
test_files\test4.txt,CUS2,"(10, 3)",14,15,,23,,D-R-R-R-R-R-S-R-R-R-R-R-D
test_files\test4.txt,CUS2,"(7, 0)",10,8,,23,,U-R-R-R-S-R-R-R-R
test_files\test5.txt,DFS,"(3, 3)",0,19,,19,,N/A
test_files\test5.txt,BFS,"(3, 3)",0,13,,13,,N/A
test_files\test5.txt,CUS1,"(3, 3)",0,2,,2,,N/A
test_files\test5.txt,GBFS,"(3, 3)",0,13,,13,,N/A
test_files\test5.txt,AS,"(3, 3)",0,13,,13,,N/A
test_files\test5.txt,CUS2,"(3, 3)",0,2,,2,,N/A
test_files\test6.txt,DFS,"(3, 3)",0,1,,1,,N/A
test_files\test6.txt,BFS,"(3, 3)",0,1,,1,,N/A
test_files\test6.txt,CUS1,"(3, 3)",0,2,,2,,N/A
test_files\test6.txt,GBFS,"(3, 3)",0,1,,1,,N/A
test_files\test6.txt,AS,"(3, 3)",0,1,,1,,N/A
test_files\test6.txt,CUS2,"(3, 3)",0,2,,2,,N/A
test_files\test7.txt,DFS,"(19, 19)",59,61,,256,,D-R-R-R-R-R-D-R-D-D-L-L-L-U-L-L-L-D-D-D-D-D-D-D-D-D-D-R-U-R-R-D-D-D-D-D-D-L-D-R-R-R-R-R-R-R-R-R-R-R-R-R-R-R-U-R-D-R
test_files\test7.txt,DFS,"(19, 0)",0,195,,256,,N/A
test_files\test7.txt,BFS,"(19, 19)",47,169,,338,,D-R-R-R-R-R-D-R-D-D-D-D-D-D-R-D-D-L-L-D-D-L-L-D-D-D-D-D-D-D-R-R-R-R-R-R-R-R-R-R-R-R-R-R-R-R
test_files\test7.txt,BFS,"(19, 0)",0,169,,338,,N/A
test_files\test7.txt,CUS1,"(19, 19)",48,90,,102,,D-R-R-R-R-R-D-R-D-D-D-D-D-D-R-D-D-L-L-S-D-D-L-L-D-D-D-D-D-D-D-R-R-R-R-R-R-R-R-R-R-R-R-R-R-R-R
test_files\test7.txt,CUS1,"(19, 0)",0,12,,102,,N/A
